VUOSI;VIIKKO;ATC_KOODIr;VAR_N_OSTOT;ATC Code;SHORTAGE
2024;10;H;297381;H;4.0
2024;10;J;262188;J;9.0
2024;10;L;138640;L;12.0
2024;10;M;424640;M;5.0
2024;10;N;2128758;N;35.0
2024;10;P;23200;P;1.0
2024;10;R;668641;R;7.0
2024;10;S;152187;S;2.0
2024;10;V;3218;V;0.0
2024;11;A;1181514;A;5.0
2024;11;B;365367;B;3.0
2024;11;C;2621251;C;18.0
2024;11;D;127143;D;8.0
2024;11;G;434953;G;9.0
2024;11;H;302777;H;4.0
2024;11;J;261272;J;9.0
2024;11;L;140455;L;12.0
2024;11;M;427558;M;5.0
2024;11;N;2164331;N;36.0
2024;11;P;23318;P;1.0
2024;11;R;686073;R;7.0
2024;11;S;153500;S;3.0
2024;11;V;3360;V;0.0
2024;12;A;1143224;A;6.0
2024;12;B;363227;B;3.0
2024;12;C;2588512;C;20.0
2024;12;D;124416;D;8.0
2024;12;G;432419;G;10.0
2024;12;H;298877;H;4.0
2024;12;J;261137;J;11.0
2024;12;L;138133;L;12.0
2024;12;M;423549;M;6.0
2024;12;N;2147509;N;44.0
2024;12;P;23513;P;1.0
2024;12;R;663856;R;8.0
2024;12;S;153013;S;3.0
2024;12;V;3198;V;0.0
2024;13;A;1032349;A;9.0
2024;13;B;337162;B;3.0
2024;13;C;2367397;C;22.0
2024;13;D;113557;D;8.0
2024;13;G;386456;G;11.0
2024;13;H;279127;H;6.0
2024;13;J;242057;J;11.0
2024;13;L;129750;L;14.0
2024;13;M;384924;M;6.0
2024;13;N;1995846;N;50.0
2024;13;P;21484;P;1.0
2024;13;R;659454;R;10.0
2024;13;S;140845;S;4.0
2024;13;V;3245;V;0.0
2024;14;A;1078181;A;16.0
2024;14;B;350658;B;6.0
2024;14;C;2466088;C;33.0
2024;14;D;116265;D;10.0
2024;14;G;422582;G;15.0
2024;14;H;277035;H;6.0
2024;14;J;232189;J;12.0
2024;14;L;138775;L;20.0
2024;14;M;396014;M;9.0
2024;14;N;1948597;N;66.0
2024;14;P;22256;P;1.0
2024;14;R;730344;R;12.0
2024;14;S;148220;S;4.0
2024;14;V;3092;V;0.0
2024;15;A;1150406;A;19.0
2024;15;B;362303;B;8.0
2024;15;C;2603252;C;40.0
2024;15;D;122888;D;10.0
2024;15;G;432281;G;16.0
2024;15;H;301337;H;6.0
2024;15;J;248665;J;13.0
2024;15;L;138114;L;24.0
2024;15;M;423628;M;11.0
2024;15;N;2138275;N;72.0
2024;15;P;23008;P;1.0
2024;15;R;786589;R;12.0
2024;15;S;157067;S;4.0
2024;15;V;3326;V;1.0
